"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"FGR","HAVANA","gene",NA,NA,"ENSG00000000938.13","protein_coding","FGR","2","OTTHUMG00000003516.3",NA,"ENSG00000000938",NA
"CFH","HAVANA","gene",NA,NA,"ENSG00000000971.17","protein_coding","CFH","1","OTTHUMG00000035607.6","overlapping_locus","ENSG00000000971",NA
"CD99","HAVANA","gene",NA,NA,"ENSG00000002586.20","protein_coding","CD99","2","OTTHUMG00000021073.12",NA,"ENSG00000002586",NA
"HS3ST1","HAVANA","gene",NA,NA,"ENSG00000002587.10","protein_coding","HS3ST1","2","OTTHUMG00000090547.7","ncRNA_host","ENSG00000002587",NA
"CFLAR","HAVANA","gene",NA,NA,"ENSG00000003402.21","protein_coding","CFLAR","1","OTTHUMG00000132819.20","ncRNA_host","ENSG00000003402",NA
"TFPI","HAVANA","gene",NA,NA,"ENSG00000003436.16","protein_coding","TFPI","2","OTTHUMG00000132634.8",NA,"ENSG00000003436",NA
"CD38","HAVANA","gene",NA,NA,"ENSG00000004468.13","protein_coding","CD38","2","OTTHUMG00000048206.6",NA,"ENSG00000004468",NA
"COPZ2","HAVANA","gene",NA,NA,"ENSG00000005243.10","protein_coding","COPZ2","2","OTTHUMG00000178684.6","ncRNA_host","ENSG00000005243",NA
"PON1","HAVANA","gene",NA,NA,"ENSG00000005421.9","protein_coding","PON1","2","OTTHUMG00000153894.4",NA,"ENSG00000005421",NA
"ITGAL","HAVANA","gene",NA,NA,"ENSG00000005844.19","protein_coding","ITGAL","1","OTTHUMG00000176964.5","ncRNA_host","ENSG00000005844",NA
"ITGA3","HAVANA","gene",NA,NA,"ENSG00000005884.18","protein_coding","ITGA3","2","OTTHUMG00000161890.7",NA,"ENSG00000005884",NA
"GDE1","HAVANA","gene",NA,NA,"ENSG00000006007.12","protein_coding","GDE1","2","OTTHUMG00000131454.7",NA,"ENSG00000006007",NA
"TMEM132A","HAVANA","gene",NA,NA,"ENSG00000006118.15","protein_coding","TMEM132A","1","OTTHUMG00000167803.2",NA,"ENSG00000006118",NA
"TNFRSF12A","HAVANA","gene",NA,NA,"ENSG00000006327.14","protein_coding","TNFRSF12A","2","OTTHUMG00000129001.2",NA,"ENSG00000006327",NA
"CCL26","HAVANA","gene",NA,NA,"ENSG00000006606.9","protein_coding","CCL26","2","OTTHUMG00000130403.2",NA,"ENSG00000006606",NA
"USH1C","HAVANA","gene",NA,NA,"ENSG00000006611.17","protein_coding","USH1C","2","OTTHUMG00000166323.3",NA,"ENSG00000006611",NA
"SCIN","HAVANA","gene",NA,NA,"ENSG00000006747.15","protein_coding","SCIN","1","OTTHUMG00000152385.5",NA,"ENSG00000006747",NA
"ADIPOR2","HAVANA","gene",NA,NA,"ENSG00000006831.10","protein_coding","ADIPOR2","1","OTTHUMG00000130139.3",NA,"ENSG00000006831",NA
"CEACAM21","HAVANA","gene",NA,NA,"ENSG00000007129.18","protein_coding","CEACAM21","2","OTTHUMG00000151062.9","overlapping_locus","ENSG00000007129",NA
"CD79B","HAVANA","gene",NA,NA,"ENSG00000007312.13","protein_coding","CD79B","2","OTTHUMG00000172294.3","overlapping_locus","ENSG00000007312",NA
"PAX6","HAVANA","gene",NA,NA,"ENSG00000007372.25","protein_coding","PAX6","1","OTTHUMG00000041447.26",NA,"ENSG00000007372",NA
"SELE","HAVANA","gene",NA,NA,"ENSG00000007908.16","protein_coding","SELE","1","OTTHUMG00000034851.9","overlapping_locus","ENSG00000007908",NA
"FMO3","HAVANA","gene",NA,NA,"ENSG00000007933.13","protein_coding","FMO3","2","OTTHUMG00000035505.5","ncRNA_host","ENSG00000007933",NA
"ADAM22","HAVANA","gene",NA,NA,"ENSG00000008277.15","protein_coding","ADAM22","1","OTTHUMG00000137417.10",NA,"ENSG00000008277",NA
"CELSR3","HAVANA","gene",NA,NA,"ENSG00000008300.17","protein_coding","CELSR3","2","OTTHUMG00000133544.3","ncRNA_host","ENSG00000008300",NA
"MGST1","HAVANA","gene",NA,NA,"ENSG00000008394.13","protein_coding","MGST1","1","OTTHUMG00000168816.5","overlapping_locus","ENSG00000008394",NA
"PGLYRP1","HAVANA","gene",NA,NA,"ENSG00000008438.5","protein_coding","PGLYRP1","2","OTTHUMG00000182489.2",NA,"ENSG00000008438",NA
"ST3GAL1","HAVANA","gene",NA,NA,"ENSG00000008513.16","protein_coding","ST3GAL1","2","OTTHUMG00000164534.6",NA,"ENSG00000008513",NA
"IL32","HAVANA","gene",NA,NA,"ENSG00000008517.19","protein_coding","IL32","2","OTTHUMG00000167498.6","ncRNA_host","ENSG00000008517",NA
