"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR14","OS","15","ICB_small_Riaz",-3.968,1.461,23,0.00661205384651972,"Pancreas","PD-1/PD-L1",0.165301346162993
"HR2","OS","3","ICB_small_Riaz",1.07,0.535,23,0.0455507261920176,"Pancreas","PD-1/PD-L1",0.387513411593935
"HR5","OS","6","ICB_small_Riaz",-1.72,0.864,23,0.0465016093912722,"Pancreas","PD-1/PD-L1",0.387513411593935
"HR","OS","1","ICB_small_Riaz",-0.695,0.606,23,0.251900850818223,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR1","OS","2","ICB_small_Riaz",-0.65,0.597,23,0.276029681774668,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR3","OS","4","ICB_small_Riaz",-0.574,0.524,23,0.272796625420929,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR9","OS","10","ICB_small_Riaz",-0.721,0.581,23,0.214716304593529,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR13","OS","14","ICB_small_Riaz",-0.378,0.333,23,0.256112098509417,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR15","OS","16","ICB_small_Riaz",-1.514,1.039,23,0.145134442129423,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR16","OS","17","ICB_small_Riaz",-1.474,1.192,23,0.216133809581582,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR17","OS","18","ICB_small_Riaz",-3.396,2.115,23,0.108320722887672,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR19","OS","20","ICB_small_Riaz",-0.582,0.509,23,0.252840641732953,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR20","OS","21","ICB_small_Riaz",-0.679,0.57,23,0.233584780170881,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR21","OS","22","ICB_small_Riaz",-0.867,0.564,23,0.124284675117656,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR22","OS","23","ICB_small_Riaz",-0.708,0.569,23,0.213396995167766,"Pancreas","PD-1/PD-L1",0.460049469624447
"HR12","OS","13","ICB_small_Riaz",-4.464,4.441,23,0.314757578978346,"Pancreas","PD-1/PD-L1",0.491808717153666
"HR24","OS","25","ICB_small_Riaz",-0.527,0.57,23,0.355571479599791,"Pancreas","PD-1/PD-L1",0.522899234705575
"HR7","OS","8","ICB_small_Riaz",-0.266,0.333,23,0.423735315089033,"Pancreas","PD-1/PD-L1",0.58852127095699
"HR4","OS","5","ICB_small_Riaz",-0.356,0.501,23,0.47764120012058,"Pancreas","PD-1/PD-L1",0.628475263316553
"HR8","OS","9","ICB_small_Riaz",-0.423,0.703,23,0.546837847945598,"Pancreas","PD-1/PD-L1",0.683547309931998
"HR18","OS","19","ICB_small_Riaz",-0.224,0.529,23,0.672366798025269,"Pancreas","PD-1/PD-L1",0.800436664315797
"HR10","OS","11","ICB_small_Riaz",-0.65,2.456,23,0.791427967741486,"Pancreas","PD-1/PD-L1",0.885403150468855
"HR11","OS","12","ICB_small_Riaz",-0.064,0.272,23,0.814570898431347,"Pancreas","PD-1/PD-L1",0.885403150468855
"HR6","OS","7","ICB_small_Riaz",0.015,0.672,23,0.982669051809804,"Pancreas","PD-1/PD-L1",0.983990017605152
"HR23","OS","24","ICB_small_Riaz",-0.024,1.192,23,0.983990017605152,"Pancreas","PD-1/PD-L1",0.983990017605152
